index,name,kp,kv,armature,damping,effort_limit,ctrl_lower,ctrl_upper
0,finger1_joint1,0.40844710645048043,0.020882010257063675,0.0005,0.0,0.4452,0.0368,1.6125
1,finger1_joint2,0.6858601063643346,0.030610939996373314,0.0005,0.0,0.4259,-0.1576,0.9312
2,finger1_joint3,0.2391112196099482,0.010181475050560962,0.0002,0.0,0.1888,-0.4638,1.5607
3,finger1_joint4,0.20736128319711747,0.00909698844675045,0.0002,0.0,0.1468,-0.4829,1.5451
4,finger2_joint1,0.37352218155860073,0.01882274330029718,0.0005,0.0,0.6188,-0.1611,1.5588
5,finger2_joint2,0.45592448909027794,0.019798167597016643,0.0002,0.0,0.1822,-0.4044,0.3054
6,finger2_joint3,0.24368366649522863,0.010477031953162727,0.0002,0.0,0.2251,-0.4714,1.5504
7,finger2_joint4,0.18026971340925335,0.008240212147903584,0.0002,0.0,0.217,-0.4644,1.5753
8,finger3_joint1,0.3687093483646485,0.01848622487024593,0.0005,0.0,0.6494,-0.1719,1.5496
9,finger3_joint2,0.4164253443634641,0.018032947229953678,0.0002,0.0,0.1827,-0.4014,0.2996
10,finger3_joint3,0.22218607502059182,0.009592200014076666,0.0002,0.0,0.2078,-0.4632,1.5613
11,finger3_joint4,0.19427606072023446,0.009152994605972402,0.0002,0.0,0.2018,-0.4697,1.5702
12,finger4_joint1,0.35718151495111794,0.018376606800780005,0.0005,0.0,0.6389,-0.1601,1.5534
13,finger4_joint2,0.42977315313086895,0.01867700966212433,0.0002,0.0,0.1832,-0.4134,0.3161
14,finger4_joint3,0.24930151196247122,0.01059512121009555,0.0002,0.0,0.2249,-0.4782,1.5448
15,finger4_joint4,0.2285032688178066,0.009917602877441107,0.0002,0.0,0.2044,-0.4825,1.555
16,finger5_joint1,0.3655325975433942,0.018616960278988272,0.0005,0.0,0.6441,-0.1674,1.5539
17,finger5_joint2,0.41393113081120425,0.018732177029667153,0.0002,0.0,0.1798,-0.4203,0.2931
18,finger5_joint3,0.22729367621965954,0.00951005441616486,0.0002,0.0,0.2384,-0.4804,1.542
19,finger5_joint4,0.1964723550341816,0.009017295241756363,0.0002,0.0,0.1866,-0.4705,1.5709
